State,County,Hospital
OK,PUSHMATAHA,1
FL,PUTNAM,7
NM,QUAY,1
NY,QUEENS,12
MS,QUITMAN,1
GA,RABUN,1
WI,RACINE,4
WV,RALEIGH,3
MN,RAMSEY,7
TX,RANDALL,1
AL,RANDOLPH,10
MS,RANKIN,7
ND,RANSOM,1
LA,RAPIDES,13
MT,RAVALLI,1
KS,RAWLINS,1
MO,RAY,1
TX,REAGAN,2
LA,RED RIVER,3
NE,RED WILLOW,1
MN,REDWOOD,1
TX,REEVES,1
TX,REFUGIO,1
KS,RENO,2
NY,RENSSELAER,3
MN,RENVILLE,2
KS,REPUBLIC,1
MO,REYNOLDS,1
TN,RHEA,1
KS,RICE,2
NE,RICHARDSON,1
SC,RICHLAND,25
GA,RICHMOND,19
VA,RICHMOND CITY,6
KS,RILEY,2
IA,RINGGOLD,2
NM,RIO ARRIBA,1
CO,RIO BLANCO,2
CO,RIO GRANDE,1
IN,RIPLEY,2
CA,RIVERSIDE,24
TN,ROANE,3
VA,ROANOKE,1
VA,ROANOKE CITY,2
SD,ROBERTS,1
TN,ROBERTSON,1
NC,ROBESON,1
WI,ROCK,6
IL,ROCK ISLAND,3
KY,ROCKCASTLE,1
GA,ROCKDALE,1
NC,ROCKINGHAM,9
NY,ROCKLAND,4
TX,ROCKWALL,3
OK,ROGER MILLS,1
OK,ROGERS,2
ND,ROLETTE,2
KS,ROOKS,1
MT,ROOSEVELT,4
MN,ROSEAU,1
MT,ROSEBUD,1
OH,ROSS,2
CO,ROUTT,1
NC,ROWAN,3
TX,RUNNELS,2
IN,RUSH,2
WI,RUSK,2
KS,RUSSELL,5
TN,RUTHERFORD,6
VT,RUTLAND,1
LA,SABINE,2
IA,SAC,1
CA,SACRAMENTO,19
MI,SAGINAW,8
LA,SAINT BERNARD,1
WI,SAINT CROIX,1
VA,SALEM,4
IL,SALINE,10
UT,SALT LAKE,24
NC,SAMPSON,1
TX,SAN AUGUSTINE,1
CA,SAN BENITO,2
CA,SAN BERNARDINO,32
CA,SAN DIEGO,37
CA,SAN FRANCISCO,18
PR,SAN GERMAN,2
CA,SAN JOAQUIN,10
PR,SAN JUAN,31
CA,SAN LUIS OBISPO,6
CA,SAN MATEO,11
NM,SAN MIGUEL,2
TX,SAN PATRICIO,1
MT,SANDERS,1
NM,SANDOVAL,2
OH,SANDUSKY,3
IL,SANGAMON,4
MI,SANILAC,3
UT,SANPETE,2
CA,SANTA BARBARA,9
CA,SANTA CLARA,17
CA,SANTA CRUZ,6
NM,SANTA FE,3
FL,SANTA ROSA,5
FL,SARASOTA,7
NY,SARATOGA,2
NE,SARPY,3
WI,SAUK,4
NE,SAUNDERS,1
WI,SAWYER,1
NY,SCHENECTADY,4
TX,SCHLEICHER,1
NY,SCHOHARIE,1
MI,SCHOOLCRAFT,2
IL,SCHUYLER,2
PA,SCHUYLKILL,3
OH,SCIOTO,2
NC,SCOTLAND,2
IN,SCOTT,15
NE,SCOTTS BLUFF,1
GA,SCREVEN,1
TX,SCURRY,1
AR,SEBASTIAN,7
KS,SEDGWICK,14
FL,SEMINOLE,7
OH,SENECA,4
OK,SEQUOYAH,1
UT,SEVIER,3
KS,SEWARD,2
SD,SHANNON,1
MS,SHARKEY,1
CA,SHASTA,7
WI,SHAWANO,2
KS,SHAWNEE,5
WI,SHEBOYGAN,2
AL,SHELBY,32
VA,SHENANDOAH,1
MN,SHERBURNE,1
KS,SHERIDAN,5
KS,SHERMAN,1
MI,SHIAWASSEE,1
ID,SHOSHONE,1
MN,SIBLEY,1
CA,SIERRA,2
MT,SILVER BOW,2
MS,SIMPSON,3
IA,SIOUX,7
CA,SISKIYOU,2
AK,SITKA,2
WA,SKAGIT,3
MS,SMITH,13
VA,SMYTH,3
WA,SNOHOMISH,8
NM,SOCORRO,1
CA,SOLANO,7
MD,SOMERSET,11
TX,SOMERVELL,1
CA,SONOMA,12
GA,SPALDING,1
SC,SPARTANBURG,6
SD,SPINK,1
WA,SPOKANE,10
VA,SPOTSYLVANIA,1
IN,ST JOSEPH,1
LA,ST. BERNARD,1
LA,ST. CHARLES,8
AL,ST. CLAIR,10
WI,ST. CROIX,4
AR,ST. FRANCIS,1
MO,ST. FRANCOIS,4
LA,ST. HELENA,1
LA,ST. JAMES,2
LA,ST. JOHN THE BAPTIST,1
FL,ST. JOHNS,1
IN,ST. JOSEPH,8
LA,ST. LANDRY,6
NY,ST. LAWRENCE,5
MN,ST. LOUIS,30
MO,ST. LOUIS CITY,15
FL,ST. LUCIE,6
LA,ST. MARTIN,2
LA,ST. MARY,2
MD,ST. MARY'S,1
LA,ST. TAMMANY,15
VA,STAFFORD,2
CA,STANISLAUS,12
NC,STANLY,1
KS,STANTON,1
ND,STARK,10
IN,STARKE,1
TX,STARR,1
VA,STAUNTON,2
MO,STE. GENEVIEVE,1
MN,STEARNS,5
MN,STEELE,1
GA,STEPHENS,3
IL,STEPHENSON,1
IN,STEUBEN,7
KS,STEVENS,4
GA,STEWART,1
MT,STILLWATER,1
MO,STODDARD,1
NC,STOKES,1
MS,STONE,2
TX,STONEWALL,1
IA,STORY,4
NH,STRAFFORD,2
ND,STUTSMAN,2
MA,SUFFOLK,41
IN,SULLIVAN,10
WV,SUMMERS,1
OH,SUMMIT,14
KS,SUMNER,5
AL,SUMTER,6
MS,SUNFLOWER,3
NC,SURRY,2
PA,SUSQUEHANNA,3
DE,SUSSEX,5
CA,SUTTER,4
TX,SUTTON,1
FL,SUWANNEE,1
NC,SWAIN,2
MT,SWEET GRASS,1
WY,SWEETWATER,2
MN,SWIFT,2
TX,SWISHER,1
MD,TALBOT,1
AL,TALLADEGA,2
MS,TALLAHATCHIE,1
AL,TALLAPOOSA,2
MO,TANEY,1
LA,TANGIPAHOA,10
NM,TAOS,1
TX,TARRANT,54
MS,TATE,1
GA,TATTNALL,1
FL,TAYLOR,13
IL,TAZEWELL,4
CA,TEHAMA,1
CO,TELLER,1
LA,TERREBONNE,5
TX,TERRY,1
WY,TETON,3
OK,TEXAS,2
NE,THAYER,1
KS,THOMAS,3
TX,THROCKMORTON,1
NE,THURSTON,4
GA,TIFT,1
OR,TILLAMOOK,1
OK,TILLMAN,1
PA,TIOGA,1
MS,TIPPAH,1
IN,TIPPECANOE,7
IN,TIPTON,2
MS,TISHOMINGO,1
TX,TITUS,1
MN,TODD,3
CT,TOLLAND,3
TX,TOM GREEN,4
NY,TOMPKINS,1
UT,TOOELE,1
MT,TOOLE,1
GA,TOOMBS,1
ND,TOWNER,1
GA,TOWNS,1
ND,TRAILL,2
NC,TRANSYLVANIA,1
MN,TRAVERSE,1
TX,TRAVIS,28
KS,TREGO,1
WI,TREMPEALEAU,2
KY,TRIGG,1
TX,TRINITY,2
SD,TRIPP,1
GA,TROUP,1
TN,TROUSDALE,1
OH,TRUMBULL,5
CA,TULARE,7
OK,TULSA,23
CA,TUOLUMNE,3
SD,TURNER,1
AL,TUSCALOOSA,7
OH,TUSCARAWAS,3
MI,TUSCOLA,2
ID,TWIN FALLS,2
TX,TYLER,2
WY,UINTA,2
UT,UINTAH,1
NY,ULSTER,3
OR,UMATILLA,4
TN,UNICOI,1
FL,UNION,29
TX,UPSHUR,2
GA,UPSON,1
TX,UPTON,3
UT,UTAH,10
PR,UTUADO,1
TX,UVALDE,1
TX,VAL VERDE,1
AK,VALDEZ-CORDOVA,3
MT,VALLEY,4
MI,VAN BUREN,4
OH,VAN WERT,2
TX,VAN ZANDT,1
NC,VANCE,1
IN,VANDERBURGH,6
PR,VEGA BAJA,1
PA,VENANGO,1
CA,VENTURA,13
LA,VERMILION,5
IN,VERMILLION,1
LA,VERNON,8
TX,VICTORIA,6
PR,VIEQUES,1
IN,VIGO,4
WI,VILAS,1
VA,VIRGINIA BEACH,4
FL,VOLUSIA,9
IN,WABASH,2
MN,WABASHA,1
MN,WADENA,1
OK,WAGONER,1
NC,WAKE,8
ME,WALDO,1
AL,WALKER,2
WA,WALLA WALLA,3
OR,WALLOWA,1
ND,WALSH,2
MS,WALTHALL,1
FL,WALTON,4
WI,WALWORTH,3
IA,WAPELLO,1
ND,WARD,4
GA,WARE,2
IN,WARREN,20
IN,WARRICK,4
UT,WASATCH,1
OR,WASCO,1
MN,WASECA,1
WY,WASHAKIE,1
WI,WASHBURN,3
AL,WASHINGTON,67
OK,WASHITA,1
NV,WASHOE,14
MI,WASHTENAW,7
NC,WATAUGA,2
MN,WATONWAN,2
WI,WAUKESHA,9
WI,WAUPACA,1
WI,WAUSHARA,1
IN,WAYNE,45
TN,WEAKLEY,2
TX,WEBB,6
UT,WEBER,2
MS,WEBSTER,6
CO,WELD,1
IN,WELLS,2
LA,WEST CARROLL,1
LA,WEST FELICIANA,1
NY,WESTCHESTER,18
PA,WESTMORELAND,6
WY,WESTON,1
WV,WETZEL,1
MI,WEXFORD,1
TX,WHARTON,2
WA,WHATCOM,2
MT,WHEATLAND,1
TX,WHEELER,3
IN,WHITE,5
NV,WHITE PINE,1
IL,WHITESIDE,2
GA,WHITFIELD,1
IN,WHITLEY,2
WA,WHITMAN,2
KS,WICHITA,8
MD,WICOMICO,3
TX,WILBARGER,2
AL,WILCOX,1
GA,WILKES,2
MN,WILKIN,1
MS,WILKINSON,2
IL,WILL,4
ND,WILLIAMS,4
VA,WILLIAMSBURG,2
TX,WILLIAMSON,17
KS,WILSON,6
VA,WINCHESTER,2
VT,WINDHAM,5
VT,WINDSOR,3
TX,WINKLER,1
LA,WINN,3
WI,WINNEBAGO,9
IA,WINNESHIEK,1
MN,WINONA,1
MS,WINSTON,4
TX,WISE,4
TX,WOOD,8
IA,WOODBURY,3
IL,WOODFORD,2
OK,WOODS,1
OK,WOODWARD,2
MA,WORCESTER,16
GA,WORTH,1
AK,WRANGELL-PETERSBURG,2
IA,WRIGHT,4
OH,WYANDOT,1
KS,WYANDOTTE,4
NY,WYOMING,2
VA,WYTHE,1
NC,YADKIN,1
WA,YAKIMA,4
MS,YALOBUSHA,1
OR,YAMHILL,2
SD,YANKTON,3
NY,YATES,1
PR,YAUCO,1
AZ,YAVAPAI,5
MS,YAZOO,1
AR,YELL,2
MN,YELLOW MEDICINE,2
MT,YELLOWSTONE,3
TX,YOAKUM,1
CA,YOLO,2
ME,YORK,18
TX,YOUNG,2
CA,YUBA,2
CO,YUMA,4
